date,time,windspeed,activepower,pressure
2011-08-04,0:00:00,4.525,163.782,1004.3
2011-08-04,0:00:01,4.735,164.871,1004.3
2011-08-04,0:00:02,4.931,167.839,1004.3
2011-08-04,0:00:03,5.152,169.065,1004.3
2011-08-04,0:00:04,5.206,167.709,1004.3
2011-08-04,0:00:05,5.223,172.169,1004.3
2011-08-04,0:00:06,5.27,170.588,1004.3
2011-08-04,0:00:07,5.222,174.082,1004.3
2011-08-04,0:00:08,5.185,171.885,1004.3
2011-08-04,0:00:09,5.058,173.974,1004.3
2011-08-04,0:00:10,4.888,174.688,1004.3
2011-08-04,0:00:11,4.874,172.349,1004.3
2011-08-04,0:00:12,4.91,171.975,1004.3
2011-08-04,0:00:13,5.026,173.367,1004.3
2011-08-04,0:00:14,5.073,173.417,1004.3
2011-08-04,0:00:15,4.999,174.181,1004.3
2011-08-04,0:00:16,4.891,174.732,1004.3
2011-08-04,0:00:17,4.772,172.028,1004.3
2011-08-04,0:00:18,4.673,173.972,1004.3
2011-08-04,0:00:19,4.578,171.115,1004.3
2011-08-04,0:00:20,4.385,169.788,1004.3
2011-08-04,0:00:21,4.245,172.1,1004.3
2011-08-04,0:00:22,4.161,169.725,1004.3
2011-08-04,0:00:23,4.143,170.235,1004.3
2011-08-04,0:00:24,4.16,170.244,1004.3
2011-08-04,0:00:25,4.201,169.121,1004.3
2011-08-04,0:00:26,4.216,165.824,1004.3
2011-08-04,0:00:27,4.215,167.207,1004.3
2011-08-04,0:00:28,4.122,164.599,1004.3
2011-08-04,0:00:29,4.052,161.84,1004.3
2011-08-04,0:00:30,4.049,161.47,1004.3
2011-08-04,0:00:31,4.166,159.087,1004.3
2011-08-04,0:00:32,4.272,160.607,1004.3
2011-08-04,0:00:33,4.357,155.492,1004.3
2011-08-04,0:00:34,4.49,155.861,1004.3
2011-08-04,0:00:35,4.548,154.04,1004.3
2011-08-04,0:00:36,4.616,152.263,1004.3
2011-08-04,0:00:37,4.643,151.066,1004.3
2011-08-04,0:00:38,4.689,151.51,1004.3
2011-08-04,0:00:39,4.712,152.05,1004.3
2011-08-04,0:00:40,4.604,150.483,1004.3
2011-08-04,0:00:41,4.506,150.683,1004.3
2011-08-04,0:00:42,4.405,148.61,1004.3
2011-08-04,0:00:43,4.36,148.125,1004.3
2011-08-04,0:00:44,4.369,145.955,1004.3
2011-08-04,0:00:45,4.2,145.501,1004.3
2011-08-04,0:00:46,4.029,145.752,1004.3
2011-08-04,0:00:47,4.01,140.986,1004.3
2011-08-04,0:00:48,3.973,143.916,1004.3
2011-08-04,0:00:49,4.013,140.118,1004.3
2011-08-04,0:00:50,4.052,141.658,1004.3
2011-08-04,0:00:51,4.131,138.566,1004.3
2011-08-04,0:00:52,4.196,138.883,1004.3
2011-08-04,0:00:53,4.151,139.609,1004.3
2011-08-04,0:00:54,4.16,136.744,1004.3
2011-08-04,0:00:55,4.173,138.792,1004.3
2011-08-04,0:00:56,4.12,137.342,1004.3
2011-08-04,0:00:57,4.137,136.963,1004.3
2011-08-04,0:00:58,4.179,138.968,1004.3
2011-08-04,0:00:59,4.158,139.652,1004.3
2011-08-04,0:01:00,4.109,141.227,1004.3
2011-08-04,0:01:01,4.139,141.585,1004.3
2011-08-04,0:01:02,4.155,141.762,1004.3
2011-08-04,0:01:03,4.188,144.7,1004.3
2011-08-04,0:01:04,4.146,145.75,1004.3
2011-08-04,0:01:05,4.126,146.072,1004.3
2011-08-04,0:01:06,4.169,148.048,1004.3
2011-08-04,0:01:07,4.191,147.179,1004.3
2011-08-04,0:01:08,4.246,149.326,1004.3
2011-08-04,0:01:09,4.221,148.331,1004.3
2011-08-04,0:01:10,4.076,147.915,1004.3
2011-08-04,0:01:11,3.993,152.232,1004.3
2011-08-04,0:01:12,4.02,147.729,1004.3
2011-08-04,0:01:13,4.09,147.402,1004.3
2011-08-04,0:01:14,4.08,149.465,1004.3
2011-08-04,0:01:15,4.027,147.345,1004.3
2011-08-04,0:01:16,3.963,148.296,1004.3
2011-08-04,0:01:17,3.864,145.919,1004.3
2011-08-04,0:01:18,3.747,143.933,1004.3
2011-08-04,0:01:19,3.604,142.259,1004.3
2011-08-04,0:01:20,3.584,141.139,1004.3
2011-08-04,0:01:21,3.552,140.211,1004.3
2011-08-04,0:01:22,3.532,135.863,1004.3
2011-08-04,0:01:23,3.623,136.775,1004.3
2011-08-04,0:01:24,3.605,135.848,1004.3
2011-08-04,0:01:25,3.639,135.637,1004.3
2011-08-04,0:01:26,3.667,133.106,1004.3
2011-08-04,0:01:27,3.674,133.297,1004.3
2011-08-04,0:01:28,3.678,134.298,1004.3
2011-08-04,0:01:29,3.693,132.782,1004.3
2011-08-04,0:01:30,3.744,132.445,1004.3
2011-08-04,0:01:31,3.858,132.53,1004.3
2011-08-04,0:01:32,4.028,134.592,1004.3
2011-08-04,0:01:33,4.119,135.296,1004.3
2011-08-04,0:01:34,4.209,135.14,1004.3
2011-08-04,0:01:35,4.32,133.516,1004.3
2011-08-04,0:01:36,4.413,133.981,1004.3
2011-08-04,0:01:37,4.419,132.106,1004.3
2011-08-04,0:01:38,4.411,134.761,1004.3
2011-08-04,0:01:39,4.466,135.703,1004.3
2011-08-04,0:01:40,4.55,138.02,1004.3
2011-08-04,0:01:41,4.732,136.059,1004.3
2011-08-04,0:01:42,4.789,138.326,1004.3
2011-08-04,0:01:43,4.825,138.577,1004.3
2011-08-04,0:01:44,4.839,141.096,1004.3
2011-08-04,0:01:45,4.886,143.51,1004.3
2011-08-04,0:01:46,4.905,142.499,1004.3
2011-08-04,0:01:47,4.84,142.022,1004.3
2011-08-04,0:01:48,4.793,143.77,1004.3
2011-08-04,0:01:49,4.677,143.252,1004.3
2011-08-04,0:01:50,4.527,146.634,1004.3
2011-08-04,0:01:51,4.582,148.029,1004.3
2011-08-04,0:01:52,4.642,145.606,1004.3
2011-08-04,0:01:53,4.668,148.358,1004.3
2011-08-04,0:01:54,4.636,146.96,1004.3
2011-08-04,0:01:55,4.517,146.248,1004.3
2011-08-04,0:01:56,4.349,147.293,1004.3
2011-08-04,0:01:57,4.22,145.97,1004.3
2011-08-04,0:01:58,4.188,149.164,1004.3
2011-08-04,0:01:59,4.149,145.219,1004.3
2011-08-04,0:02:00,4.074,147.026,1004.3
2011-08-04,0:02:01,4.008,147.9,1004.3
2011-08-04,0:02:02,3.888,147.305,1004.3
2011-08-04,0:02:03,3.777,149.173,1004.3
2011-08-04,0:02:04,3.809,148.431,1004.3
2011-08-04,0:02:05,3.875,149.693,1004.3
2011-08-04,0:02:06,3.929,149.505,1004.3
2011-08-04,0:02:07,4.026,148.794,1004.3
2011-08-04,0:02:08,4.146,150.532,1004.3
2011-08-04,0:02:09,4.377,153.853,1004.3
2011-08-04,0:02:10,4.645,153.608,1004.3
2011-08-04,0:02:11,4.894,153.115,1004.3
2011-08-04,0:02:12,5.008,153.965,1004.3
2011-08-04,0:02:13,5.135,153.911,1004.3
2011-08-04,0:02:14,5.151,154.006,1004.3
2011-08-04,0:02:15,5.124,156.131,1004.3
2011-08-04,0:02:16,5.111,154.465,1004.3
2011-08-04,0:02:17,5.09,152.901,1004.3
2011-08-04,0:02:18,5.094,152.541,1004.3
2011-08-04,0:02:19,5.092,154.231,1004.3
2011-08-04,0:02:20,5.09,154.197,1004.3
2011-08-04,0:02:21,5.046,155.226,1004.3
2011-08-04,0:02:22,4.922,155.447,1004.3
2011-08-04,0:02:23,4.703,154.086,1004.3
2011-08-04,0:02:24,4.646,158.095,1004.3
2011-08-04,0:02:25,4.733,156.11,1004.3
2011-08-04,0:02:26,4.758,159.026,1004.3
2011-08-04,0:02:27,4.722,156.701,1004.3
2011-08-04,0:02:28,4.89,157.165,1004.3
2011-08-04,0:02:29,4.973,159.503,1004.3
2011-08-04,0:02:30,4.9,157.03,1004.3
2011-08-04,0:02:31,4.849,159.069,1004.3
2011-08-04,0:02:32,4.804,156.429,1004.3
2011-08-04,0:02:33,4.874,157.968,1004.3
2011-08-04,0:02:34,4.886,159.824,1004.3
2011-08-04,0:02:35,4.874,158.814,1004.3
2011-08-04,0:02:36,4.918,157.587,1004.3
2011-08-04,0:02:37,4.894,160.698,1004.3
2011-08-04,0:02:38,4.821,160.175,1004.3
2011-08-04,0:02:39,4.745,160.642,1004.3
2011-08-04,0:02:40,4.721,161.026,1004.3
2011-08-04,0:02:41,4.733,161.332,1004.3
2011-08-04,0:02:42,4.771,160.815,1004.3
2011-08-04,0:02:43,4.723,157.971,1004.3
2011-08-04,0:02:44,4.632,157.243,1004.3
2011-08-04,0:02:45,4.523,160.025,1004.3
2011-08-04,0:02:46,4.522,159.107,1004.3
2011-08-04,0:02:47,4.486,161.571,1004.3
2011-08-04,0:02:48,4.581,159.924,1004.3
2011-08-04,0:02:49,4.739,159.076,1004.3
2011-08-04,0:02:50,4.848,156.417,1004.3
2011-08-04,0:02:51,4.887,161.305,1004.3
2011-08-04,0:02:52,4.868,161.977,1004.3
2011-08-04,0:02:53,4.909,159.137,1004.3
2011-08-04,0:02:54,4.884,162.766,1004.3
2011-08-04,0:02:55,4.812,161.932,1004.3
2011-08-04,0:02:56,4.766,165.266,1004.3
2011-08-04,0:02:57,4.779,161.769,1004.3
2011-08-04,0:02:58,4.869,163.619,1004.3
2011-08-04,0:02:59,4.919,163.374,1004.3
2011-08-04,0:03:00,4.934,166.2,1004.3
2011-08-04,0:03:01,4.913,168.302,1004.3
2011-08-04,0:03:02,4.938,167.662,1004.3
2011-08-04,0:03:03,4.999,170.421,1004.3
2011-08-04,0:03:04,4.963,169.454,1004.3
2011-08-04,0:03:05,4.923,172.704,1004.3
2011-08-04,0:03:06,4.889,170.068,1004.3
2011-08-04,0:03:07,4.947,170.064,1004.3
2011-08-04,0:03:08,5.011,170.97,1004.3
2011-08-04,0:03:09,5.006,170.505,1004.3
2011-08-04,0:03:10,5.149,171.7,1004.3
2011-08-04,0:03:11,5.324,171.708,1004.3
2011-08-04,0:03:12,5.368,173.668,1004.3
2011-08-04,0:03:13,5.434,173.194,1004.3
2011-08-04,0:03:14,5.441,172.277,1004.3
2011-08-04,0:03:15,5.428,173.792,1004.3
2011-08-04,0:03:16,5.373,175.507,1004.3
2011-08-04,0:03:17,5.366,175.941,1004.3
2011-08-04,0:03:18,5.369,175.158,1004.3
2011-08-04,0:03:19,5.361,179.947,1004.3
2011-08-04,0:03:20,5.429,180.536,1004.3
2011-08-04,0:03:21,5.43,181.371,1004.3
2011-08-04,0:03:22,5.353,183.293,1004.3
2011-08-04,0:03:23,5.099,184.387,1004.3
